name,category_id,safety_score,description
Aqua,8,1,"Используется как растворитель, основа большинства косметических средств."
Glycerin,3,1,"Увлажнитель, удерживает влагу в коже."
Cetearyl Alcohol,1,2,"Жирный спирт, смягчает и стабилизирует эмульсии."
Caprylic/Capric Triglyceride,1,1,"Смягчает кожу, получен из кокосового масла."
Cetyl Alcohol,1,2,"Жирный спирт, улучшает текстуру кремов."
Ceteareth-20,2,3,"Эмульгатор для соединения масла и воды."
Petrolatum,95,4,"Создаёт барьер, удерживающий влагу."
Potassium Phosphate,21,1,"Регулятор pH."
Ceramide NP,96,1,"Восстанавливает кожный барьер."
Ceramide AP,96,1,"Укрепляет липидный барьер кожи."
Ceramide EOP,96,1,"Поддерживает увлажнение и защиту кожи."
Carbomer,10,2,"Загуститель и стабилизатор геля."
Dimethicone,1,2,"Силикон для смягчения кожи, защищает от испарения влаги."
Behentrimonium Methosulfate,13,3,"Катионный кондиционер для волос и кожи."
Cetearyl Glucoside,2,1,"Натуральный эмульгатор на основе сахара."
Sodium Lauroyl Lactylate,2,1,"Улучшает проникновение активных компонентов."
Sodium Hyaluronate,3,1,"Гиалуроновая кислота — увлажнитель, удерживает влагу."
Cholesterol,96,1,"Важный компонент липидного барьера."
Phenoxyethanol,4,4,"Консервант, предотвращает рост бактерий."
Disodium EDTA,20,3,"Связывает ионы металлов, стабилизирует формулу."
Tocopherol,6,1,"Витамин E, защищает от свободных радикалов."
Phytosphingosine,96,1,"Поддерживает барьерные функции кожи."
Xanthan Gum,9,1,"Натуральный загуститель."
Ethylhexylglycerin,4,2,"Консервант и смягчающий агент."
Dipropylene Glycol,8,2,"Расторитель и увлажнитель."
Propylene Glycol,3,3,"Увлажнитель, может вызывать раздражение."
Sodium Stearate,2,3,"Стабилизатор и эмульгатор."
Poloxamine 1307,2,3,"Поверхностно-активное вещество."
Parfum,5,5,"Ароматизатор, может вызывать аллергию."
PPG-3 Myristyl Ether,1,3,"Смягчающий агент."
Tetrasodium EDTA,20,3,"Стабилизатор формулы."
Linalool,5,5,"Ароматический компонент, аллерген."
Hexyl Cinnamal,5,5,"Запах жасмина, аллерген."
Limonene,5,6,"Цитрусовый ароматизатор, окисляется и вызывает раздражение."
Coumarin,5,6,"Ароматизатор, возможный аллерген."
Geraniol,5,5,"Запах розы, аллерген."
Citronellol,5,5,"Запах роз и герани, аллерген."
Citral,5,6,"Цитрусовый аромат, сильный аллерген."
Pentaerythrityl Tetra-di-t-butyl Hydroxyhydrocinnamate,6,2,"Антиоксидант, стабилизирует масла."
CI 61565,11,3,"Краситель (зелёный)."
Cocamidopropyl Hydroxysultaine,7,3,"ПАВ на основе кокоса."
Sodium Methyl 2-sulfolaurate,7,2,"Мягкий ПАВ."
Citrus Aurantium Dulcis Peel Oil,5,5,"Эфирное масло апельсина."
Jasminum Officinale Flower Extract,5,2,"Экстракт жасмина, ароматизатор."
Aloe Barbadensis Leaf Juice,3,1,"Гель алоэ, успокаивающее действие."
Olea Europaea Fruit Oil,1,1,"Оливковое масло, питает кожу."
Disodium 2-sulfolaurate,7,2,"Мягкий ПАВ."
Sodium Chloride,34,1,"Регулятор вязкости."
Citric Acid,97,2,"Корректирует pH."
Sodium Benzoate,4,3,"Консервант."
Potassium Sorbate,4,3,"Консервант."
Allantoin,26,1,"Смягчающий и заживляющий компонент."
Panthenol,3,1,"Производное витамина B5, увлажняет и успокаивает."
Niacinamide,65,1,"Витамин B3, выравнивает тон кожи."
Retinol,98,5,"Витамин A, антивозрастной компонент."
Ascorbic Acid,6,2,"Витамин C, осветляет и защищает кожу."
Urea,3,2,"Увлажнитель, смягчает ороговевшую кожу."
Salicylic Acid,28,4,"Бета-гидроксикислота (BHA), отшелушивает."
Lactic Acid,28,3,"Альфа-гидроксикислота (AHA), увлажняет и отшелушивает."
Glycolic Acid,28,4,"Альфа-гидроксикислота, улучшает обновление кожи."
Mandelic Acid,28,2,"AHA кислота, мягкое отшелушивание."
Tartaric Acid,28,2,"Винная кислота / AHA-кислота (альфа-гидроксикислота), которая содержится в винограде и некоторых фруктах. Отшелушивающее средство (мягко удаляет ороговевшие клетки кожи), коррекция pH (часто используется для подкисления формул), дополнительно может улучшать проникновение других активных ингредиентов"
Malic Acid,28,2,"Фруктовая кислота."
